No.,棒の長さ (mm),切断パターン,端材 (mm)
1,6000,790 + 2155 + 3055,0
2,4500,855 + 1017 + 2625,3
3,4500,855 + 1017 + 2625,3
4,4500,855 + 1017 + 2625,3
5,4500,855 + 1017 + 2625,3
6,6000,2410 + 3585,5
7,6000,2410 + 3585,5
8,6000,2410 + 3585,5
9,6000,2410 + 3585,5
10,6000,2410 + 3585,5
11,6000,2410 + 3585,5
12,6000,2410 + 3585,5
13,6000,2410 + 3585,5
14,6000,2410 + 3585,5
15,6000,2410 + 3585,5
16,6000,2410 + 3585,5
17,6000,2410 + 3585,5
18,6000,2410 + 3585,5
19,6000,2410 + 3585,5
20,6000,2410 + 3585,5
21,6000,2410 + 3585,5
22,6000,2410 + 3585,5
23,6000,2410 + 3585,5
24,6000,2410 + 3585,5
25,6000,2410 + 3585,5
26,6000,2410 + 3585,5
27,6000,2410 + 3585,5
28,6000,2410 + 3585,5
29,6000,2410 + 3585,5
30,6000,2410 + 3585,5
31,6000,2410 + 3585,5
32,6000,2410 + 3585,5
33,6000,2410 + 3585,5
34,6000,2410 + 3585,5
35,6000,2410 + 3585,5
36,6000,2410 + 3585,5
37,6000,2410 + 3585,5
38,6000,2410 + 3585,5
39,6000,2410 + 3585,5
40,6000,2410 + 3585,5
41,6000,710 + 1765 + 3520,5
42,6000,710 + 1765 + 3520,5
43,6000,2675 + 3320,5
44,6000,2675 + 3320,5
45,6000,2675 + 3320,5
46,6000,2675 + 3320,5
47,6000,2675 + 3320,5
48,6000,2675 + 3320,5
49,6000,2675 + 3320,5
50,6000,2675 + 3320,5
51,6000,2675 + 3320,5
52,6000,2675 + 3320,5
53,6000,2675 + 3320,5
54,6000,2675 + 3320,5
55,6000,2675 + 3320,5
56,6000,2675 + 3320,5
57,6000,2675 + 3320,5
58,6000,2675 + 3320,5
59,6000,2675 + 3320,5
60,6000,2675 + 3320,5
61,6000,2675 + 3320,5
62,6000,2675 + 3320,5
63,6000,2675 + 3320,5
64,6000,2675 + 3320,5
65,6000,2675 + 3320,5
66,6000,2675 + 3320,5
67,6000,2675 + 3320,5
68,6000,2675 + 3320,5
69,6000,2675 + 3320,5
70,6000,2675 + 3320,5
71,6000,2675 + 3320,5
72,6000,2675 + 3320,5
73,6000,2675 + 3320,5
74,6000,2675 + 3320,5
75,6000,2675 + 3320,5
76,6000,2675 + 3320,5
77,6000,2675 + 3320,5
78,6000,2675 + 3320,5
79,6000,2675 + 3320,5
80,6000,2675 + 3320,5
81,6000,2675 + 3320,5
82,6000,855 + 1620 + 3520,5
83,6000,855 + 1620 + 3520,5
84,6000,790 + 855 + 4350,5
85,6000,790 + 855 + 4350,5
86,4500,4495,5
87,4500,4495,5
88,4500,4495,5
89,4500,4495,5
90,4500,4495,5
91,4500,4495,5
92,4500,4495,5
93,4500,4495,5
94,4500,4495,5
95,4500,4495,5
96,5500,1052 + 1765 + 2675,8
97,5500,1052 + 1765 + 2675,8
98,5500,1052 + 1765 + 2675,8
99,5500,855 + 1052 + 3585,8
100,5500,855 + 1052 + 3585,8
101,5500,855 + 1052 + 3585,8
102,5500,855 + 1052 + 3585,8
103,6000,2665 + 3320,15
104,6000,2665 + 3320,15
105,6000,2665 + 3320,15
106,6000,2665 + 3320,15
107,6000,2665 + 3320,15
108,6000,2665 + 3320,15
109,6000,2665 + 3320,15
110,6000,2665 + 3320,15
111,6000,2665 + 3320,15
112,6000,2665 + 3320,15
113,6000,2665 + 3320,15
114,6000,2665 + 3320,15
115,6000,2665 + 3320,15
116,6000,2665 + 3320,15
117,6000,2665 + 3320,15
118,6000,2665 + 3320,15
119,6000,2665 + 3320,15
120,6000,2665 + 3320,15
121,6000,2665 + 3320,15
122,6000,2665 + 3320,15
123,6000,2665 + 3320,15
124,6000,2665 + 3320,15
125,6000,2665 + 3320,15
126,6000,2665 + 3320,15
127,6000,2665 + 3320,15
128,4000,1310 + 2675,15
129,4000,1310 + 2675,15
130,4000,1310 + 2675,15
131,4000,1310 + 2675,15
132,4000,1310 + 2675,15
133,4000,1310 + 2675,15
134,4000,1310 + 2675,15
135,4000,1310 + 2675,15
136,4000,1310 + 2675,15
137,4000,1310 + 2675,15
138,4000,1310 + 2675,15
139,4000,1310 + 2675,15
140,4000,1310 + 2675,15
141,4000,1310 + 2675,15
142,4000,1310 + 2675,15
143,4000,1310 + 2675,15
144,4000,1310 + 2675,15
145,4000,1310 + 2675,15
146,4000,1310 + 2675,15
147,4000,1310 + 2675,15
148,4000,1310 + 2675,15
149,4000,1310 + 2675,15
150,4000,1310 + 2675,15
151,4000,1310 + 2675,15
152,4000,1310 + 2675,15
153,4000,1310 + 2675,15
154,4000,1310 + 2675,15
155,4000,1310 + 2675,15
156,4000,1310 + 2675,15
157,4000,1310 + 2675,15
158,4000,1310 + 2675,15
159,4000,1310 + 2675,15
160,4000,1310 + 2675,15
161,4000,1310 + 2675,15
162,4000,1310 + 2675,15
163,4000,1310 + 2675,15
164,4000,1310 + 2675,15
165,4000,855 + 3130,15
166,4000,855 + 3130,15
167,4000,855 + 3130,15
168,4000,855 + 3130,15
169,4000,855 + 3130,15
170,4000,855 + 3130,15
171,4000,855 + 3130,15
172,4000,855 + 3130,15
173,4000,855 + 3130,15
174,4000,855 + 3130,15
175,4000,855 + 3130,15
176,4000,855 + 3130,15
177,4000,855 + 3130,15
178,4000,400 + 3585,15
179,4000,400 + 3585,15
180,4000,400 + 3585,15
181,4000,400 + 3585,15
182,4000,400 + 3585,15
183,4000,400 + 3585,15
184,4000,400 + 3585,15
185,4000,400 + 3585,15
186,4500,945 + 3535,20
187,4500,945 + 3535,20
188,6000,805 + 855 + 1700 + 2610,30
189,6000,805 + 855 + 1700 + 2610,30
190,6000,805 + 855 + 1700 + 2610,30
191,5500,1952 + 3520,28
192,5500,1952 + 3520,28
193,4000,3975,25
194,4000,3975,25
195,4000,3975,25
196,4000,3975,25
197,6000,790 + 855 + 1700 + 2610,45
198,6000,790 + 855 + 1700 + 2610,45
199,6000,790 + 855 + 1700 + 2610,45
200,6000,790 + 855 + 1700 + 2610,45
201,6000,790 + 855 + 1700 + 2610,45
202,5500,855 + 1080 + 3520,45
203,5500,855 + 1080 + 3520,45
204,5500,855 + 1080 + 3520,45
205,5500,855 + 1080 + 3520,45
206,5500,855 + 1080 + 3520,45
207,5500,855 + 1080 + 3520,45
208,5500,855 + 1080 + 3520,45
209,5500,855 + 1080 + 3520,45
210,5500,855 + 1080 + 3520,45
211,5500,855 + 1080 + 3520,45
212,5500,855 + 1990 + 2610,45
213,5500,855 + 1990 + 2610,45
214,5500,1865 + 3585,50
215,5500,1865 + 3585,50
