No.,棒の長さ (mm),切断パターン,端材 (mm)
1,4500,4495,5
2,4500,4495,5
3,4500,4495,5
4,4500,4495,5
5,4500,4495,5
6,4500,4495,5
7,4000,1765 + 2220,15
8,4000,1765 + 2220,15
9,4000,855 + 3130,15
10,4000,855 + 3130,15
11,4000,855 + 3130,15
12,4000,855 + 3130,15
13,4000,855 + 3130,15
14,4000,855 + 3130,15
15,4000,855 + 3130,15
16,4000,855 + 3130,15
17,4000,1310 + 2675,15
18,4000,1310 + 2675,15
19,6000,1080 + 2220 + 2675,25
20,6000,1080 + 2220 + 2675,25
21,6000,1080 + 2220 + 2675,25
22,6000,1080 + 2220 + 2675,25
23,6000,1080 + 1310 + 3585,25
24,6000,1080 + 1310 + 3585,25
25,5500,855 + 1080 + 3535,30
26,5500,855 + 1080 + 3535,30
27,5500,855 + 855 + 1080 + 2675,35
28,5500,855 + 855 + 1080 + 2675,35
29,4500,1765 + 2675,60
30,4500,1765 + 2675,60
31,4500,1765 + 2675,60
32,4500,1765 + 2675,60
33,4500,1765 + 2675,60
34,4500,1765 + 2675,60
35,4500,1765 + 2675,60
36,4500,1765 + 2675,60
37,4500,1765 + 2675,60
38,4500,1765 + 2675,60
39,4500,1765 + 2675,60
40,4500,1765 + 2675,60
41,4500,1765 + 2675,60
42,4500,1765 + 2675,60
43,4500,1765 + 2675,60
44,4500,1765 + 2675,60
45,4500,1765 + 2675,60
46,4500,1765 + 2675,60
47,4500,855 + 3585,60
48,4500,855 + 3585,60
49,4500,855 + 3585,60
50,4500,855 + 3585,60
51,4500,855 + 3585,60
52,4500,855 + 3585,60
53,4500,855 + 3585,60
54,4500,855 + 3585,60
55,4500,855 + 3585,60
56,4500,855 + 3585,60
57,4500,855 + 3585,60
58,4500,855 + 3585,60
59,4500,855 + 3585,60
60,4500,855 + 3585,60
61,4500,855 + 3585,60
62,4500,855 + 3585,60
63,4500,855 + 3585,60
64,4500,855 + 3585,60
65,4500,855 + 3585,60
66,4500,855 + 3585,60
67,4500,855 + 3585,60
68,4500,855 + 3585,60
69,5500,2675 + 2675,150
70,5500,2675 + 2675,150
71,5500,2675 + 2675,150
72,5500,2675 + 2675,150
73,5500,2675 + 2675,150
74,5500,2675 + 2675,150
75,5500,2675 + 2675,150
76,5500,2675 + 2675,150
77,5500,2675 + 2675,150
78,5500,2675 + 2675,150
79,5500,2675 + 2675,150
80,5500,2675 + 2675,150
81,5500,2675 + 2675,150
